Year,Value,Units,Series,GeoCode
2002,24081371.0,Tonnes,Access to basic waste collection services,
2004,25226766.0,Tonnes,Access to basic waste collection services,
2006,26417011.0,Tonnes,Access to basic waste collection services,
2008,25926476.0,Tonnes,Access to basic waste collection services,
2010,24952415.0,Tonnes,Access to basic waste collection services,
2012,24681474.0,Tonnes,Access to basic waste collection services,
2014,24766650.0,Tonnes,Access to basic waste collection services,
2016,24940747.0,Tonnes,Access to basic waste collection services,
2018,25733021.0,Tonnes,Access to basic waste collection services,
2020,26107720.0,Tonnes,Access to basic waste collection services,
